                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2324,                0.89585,                 1.2309,                0.88376,                0.81641,                 0.9044,                0.58643,                 1.1843,                0.82562,                 1.1933,              0.0083665,              0.0083665,              0.0083665
                     36,                  1.236,                0.89929,                   1.23,                0.87909,                0.81657,                0.90299,                0.58836,                 1.1784,                0.85801,                 1.1918,               0.008317,               0.008317,               0.008317
                     37,                 1.2259,                0.89256,                  1.228,                0.87937,                0.81923,                0.90465,                0.58907,                 1.1781,                0.85174,                 1.1889,              0.0082675,              0.0082675,              0.0082675
                     38,                  1.232,                0.89528,                 1.2248,                0.88258,                0.82038,                0.90477,                0.59061,                 1.1766,                0.82863,                 1.1885,               0.008218,               0.008218,               0.008218
                     39,                 1.2305,                0.88962,                 1.2279,                0.88765,                0.81559,                0.90565,                0.59171,                 1.1745,                0.82846,                 1.1876,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.2294,                0.89222,                 1.2271,                0.88746,                0.81993,                0.90677,                0.59237,                  1.175,                0.81734,                 1.1854,               0.008119,               0.008119,               0.008119
                     41,                 1.2321,                0.89274,                 1.2292,                0.88605,                0.82309,                0.90746,                0.59293,                 1.1714,                0.82033,                 1.1851,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.2256,                0.88681,                 1.2264,                0.88827,                0.81993,                0.90688,                0.59249,                  1.172,                0.82068,                 1.1838,                0.00802,                0.00802,                0.00802
                     43,                 1.2303,                0.88866,                 1.2268,                0.88597,                0.82415,                0.90667,                0.59137,                 1.1769,                0.81848,                 1.1866,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.2279,                0.88784,                 1.2227,                0.88943,                0.82521,                0.90881,                0.59275,                 1.1741,                0.80725,                 1.1854,               0.007921,               0.007921,               0.007921
                     45,                 1.2264,                0.88843,                 1.2241,                0.88815,                0.82427,                0.90882,                0.59415,                 1.1723,                0.83045,                 1.1859,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.2287,                0.88705,                 1.2255,                0.88638,                0.82309,                 0.9086,                0.59448,                 1.1702,                0.81618,                 1.1843,               0.007822,               0.007822,               0.007822
                     47,                 1.2257,                0.88826,                 1.2253,                0.89034,                0.82329,                0.90952,                0.59465,                 1.1692,                0.82167,                 1.1843,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.2284,                0.88608,                 1.2228,                0.88806,                0.82192,                0.90847,                0.59365,                 1.1686,                 0.8215,                  1.183,               0.007723,               0.007723,               0.007723
                     49,                 1.2256,                0.88344,                 1.2201,                0.88681,                0.82298,                0.90896,                0.59404,                 1.1696,                0.81411,                 1.1822,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.2239,                0.88257,                 1.2246,                0.88901,                0.82447,                0.90838,                0.59519,                 1.1673,                0.82044,                 1.1821,               0.007624,               0.007624,               0.007624
                     51,                 1.2254,                0.88407,                 1.2237,                0.88786,                0.82235,                0.90856,                0.59525,                 1.1664,                0.81826,                 1.1812,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.2259,                0.88039,                 1.2228,                0.88895,                0.82398,                 0.9088,                0.59475,                 1.1671,                0.82166,                 1.1812,               0.007525,               0.007525,               0.007525
                     53,                 1.2266,                0.88178,                 1.2228,                0.88839,                0.82494,                0.90903,                 0.5949,                 1.1669,                0.81748,                 1.1804,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.2232,                0.88022,                 1.2234,                0.89091,                0.82204,                 0.9094,                0.59455,                 1.1674,                0.82043,                 1.1808,               0.007426,               0.007426,               0.007426
                     55,                 1.2216,                0.88049,                 1.2192,                0.89011,                0.82422,                0.90948,                0.59511,                 1.1677,                0.82259,                 1.1808,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.2219,                0.87792,                 1.2226,                0.89083,                0.82227,                0.90968,                0.59562,                 1.1683,                0.81871,                 1.1811,               0.007327,               0.007327,               0.007327
                     57,                 1.2185,                0.87861,                 1.2215,                0.88794,                0.82368,                0.90955,                0.59572,                 1.1664,                0.81833,                 1.1804,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.2231,                 0.8782,                 1.2187,                0.89055,                0.82286,                0.90961,                0.59628,                 1.1663,                 0.8134,                 1.1804,               0.007228,               0.007228,               0.007228
                     59,                 1.2199,                0.87876,                 1.2194,                0.88825,                0.82438,                0.91012,                0.59662,                 1.1659,                0.81463,                 1.1802,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.2215,                0.87739,                 1.2202,                0.88469,                0.82659,                0.91049,                0.59735,                 1.1646,                0.81509,                 1.1802,               0.007129,               0.007129,               0.007129
                     61,                 1.2186,                0.87243,                 1.2187,                 0.8873,                0.82423,                0.90988,                0.59694,                 1.1649,                0.81289,                 1.1799,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.2179,                0.86977,                 1.2188,                0.89141,                0.82333,                0.91061,                0.59688,                 1.1652,                0.81455,                   1.18,                0.00703,                0.00703,                0.00703
                     63,                 1.2142,                0.87264,                 1.2193,                0.89094,                0.82415,                0.91039,                0.59684,                 1.1653,                0.81423,                 1.1798,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.2153,                0.86993,                  1.218,                0.89156,                0.82316,                0.91015,                0.59664,                 1.1644,                0.81219,                 1.1794,               0.006931,               0.006931,               0.006931
                     65,                  1.217,                0.87212,                 1.2182,                0.89161,                0.82256,                0.91018,                0.59704,                 1.1646,                0.81365,                 1.1794,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.2178,                0.86777,                 1.2169,                0.89211,                0.82251,                0.91054,                0.59691,                 1.1645,                0.81257,                 1.1793,               0.006832,               0.006832,               0.006832
                     67,                 1.2153,                0.86895,                  1.217,                0.89144,                0.82303,                0.91029,                0.59706,                 1.1647,                 0.8107,                 1.1794,              0.0067825,              0.0067825,              0.0067825
                     68,                 1.2152,                0.86981,                 1.2176,                 0.8926,                0.82327,                0.91027,                0.59705,                 1.1646,                0.81112,                 1.1792,               0.006733,               0.006733,               0.006733
