                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1326,                  0.623,                 1.1681,                0.90133,                0.85994,                0.93639,                0.63572,                 1.1296,                0.54671,                 1.1509,               0.006634,               0.006634,               0.006634
                     37,                 1.1227,                0.61797,                 1.1639,                0.90517,                0.85791,                 0.9362,                0.63737,                 1.1248,                0.54809,                 1.1446,               0.006535,               0.006535,               0.006535
                     38,                 1.1246,                0.61535,                 1.1598,                0.90776,                0.86026,                0.93898,                0.63919,                 1.1226,                0.54009,                 1.1437,               0.006436,               0.006436,               0.006436
                     39,                 1.1205,                0.61129,                 1.1602,                0.89966,                0.86612,                0.93771,                0.63535,                 1.1307,                0.54287,                 1.1473,               0.006337,               0.006337,               0.006337
                     40,                 1.1165,                0.61169,                 1.1597,                0.90177,                0.86634,                0.93923,                0.64001,                 1.1185,                0.54072,                 1.1435,               0.006238,               0.006238,               0.006238
                     41,                 1.1151,                0.61012,                 1.1567,                0.90057,                0.86424,                 0.9394,                0.64104,                 1.1182,                0.53808,                 1.1421,               0.006139,               0.006139,               0.006139
                     42,                 1.1087,                0.60384,                 1.1557,                0.90161,                0.86764,                0.93976,                0.64016,                 1.1211,                0.53561,                  1.142,                0.00604,                0.00604,                0.00604
                     43,                 1.1087,                0.60372,                 1.1518,                0.90782,                0.86248,                0.94015,                0.64136,                 1.1198,                0.53277,                  1.141,               0.005941,               0.005941,               0.005941
                     44,                 1.1028,                0.59861,                 1.1462,                0.90281,                0.86448,                 0.9393,                0.63965,                 1.1187,                0.53317,                 1.1392,               0.005842,               0.005842,               0.005842
                     45,                 1.0992,                0.59597,                 1.1454,                0.89939,                0.87299,                0.94002,                0.64056,                 1.1192,                 0.5328,                 1.1392,               0.005743,               0.005743,               0.005743
                     46,                 1.0979,                0.59547,                 1.1467,                0.89955,                0.87562,                0.94205,                0.64286,                  1.115,                0.52888,                 1.1369,               0.005644,               0.005644,               0.005644
                     47,                 1.0924,                0.59208,                 1.1446,                0.89846,                 0.8721,                0.94138,                0.64357,                 1.1146,                0.52579,                 1.1364,               0.005545,               0.005545,               0.005545
                     48,                 1.0909,                 0.5908,                 1.1391,                0.89586,                0.87535,                0.94139,                 0.6422,                 1.1177,                0.52536,                 1.1377,               0.005446,               0.005446,               0.005446
                     49,                  1.084,                0.58692,                  1.137,                0.90398,                0.86748,                0.94094,                 0.6434,                 1.1153,                0.52688,                 1.1375,               0.005347,               0.005347,               0.005347
                     50,                 1.0827,                0.58425,                 1.1406,                0.90569,                0.86413,                 0.9401,                0.64239,                 1.1153,                 0.5276,                 1.1378,               0.005248,               0.005248,               0.005248
                     51,                 1.0794,                 0.5832,                 1.1357,                0.90828,                0.86721,                0.94093,                0.64354,                 1.1149,                0.52464,                 1.1361,               0.005149,               0.005149,               0.005149
                     52,                 1.0793,                0.57966,                 1.1338,                0.90082,                0.87128,                0.94158,                0.64505,                 1.1117,                0.52354,                 1.1354,                0.00505,                0.00505,                0.00505
                     53,                 1.0735,                0.57813,                 1.1324,                0.89622,                0.87371,                0.94127,                0.64561,                  1.111,                0.52397,                 1.1364,               0.004951,               0.004951,               0.004951
                     54,                 1.0685,                 0.5738,                  1.132,                0.89967,                0.87233,                0.94179,                 0.6451,                 1.1126,                0.52334,                 1.1373,               0.004852,               0.004852,               0.004852
                     55,                 1.0616,                0.56997,                 1.1261,                0.89809,                0.87405,                0.94121,                0.64506,                 1.1124,                0.52182,                 1.1369,               0.004753,               0.004753,               0.004753
                     56,                 1.0623,                0.57022,                 1.1289,                0.90213,                0.87311,                0.94185,                0.64545,                 1.1111,                0.52119,                 1.1358,               0.004654,               0.004654,               0.004654
                     57,                  1.057,                0.56828,                  1.126,                0.89977,                0.87339,                0.94163,                0.64687,                 1.1103,                0.52049,                 1.1356,               0.004555,               0.004555,               0.004555
                     58,                 1.0561,                0.56583,                 1.1213,                0.90156,                0.87386,                0.94171,                0.64636,                 1.1087,                0.51901,                 1.1349,               0.004456,               0.004456,               0.004456
                     59,                 1.0487,                0.56288,                 1.1191,                0.90224,                0.87479,                0.94193,                 0.6471,                 1.1074,                 0.5178,                 1.1337,               0.004357,               0.004357,               0.004357
                     60,                 1.0513,                0.56107,                   1.12,                0.90398,                0.87413,                0.94253,                0.64795,                 1.1065,                0.51646,                 1.1326,               0.004258,               0.004258,               0.004258
                     61,                 1.0422,                0.55549,                 1.1155,                0.90353,                0.87456,                0.94269,                 0.6486,                 1.1057,                0.51563,                 1.1319,               0.004159,               0.004159,               0.004159
                     62,                 1.0393,                0.55382,                 1.1143,                0.90488,                0.87339,                0.94293,                0.64789,                 1.1061,                0.51536,                 1.1322,                0.00406,                0.00406,                0.00406
                     63,                 1.0313,                0.54897,                 1.1131,                0.90835,                0.86952,                0.94313,                0.64908,                 1.1058,                0.51455,                 1.1318,               0.003961,               0.003961,               0.003961
                     64,                  1.029,                0.54768,                 1.1074,                0.90729,                0.87163,                0.94321,                0.64917,                 1.1061,                0.51363,                 1.1314,               0.003862,               0.003862,               0.003862
                     65,                 1.0292,                0.54764,                 1.1103,                0.90832,                0.87109,                0.94321,                0.64946,                  1.106,                0.51325,                 1.1315,               0.003763,               0.003763,               0.003763
                     66,                 1.0259,                0.54378,                 1.1059,                0.90728,                  0.873,                0.94319,                0.64918,                 1.1057,                0.51246,                 1.1314,               0.003664,               0.003664,               0.003664
                     67,                 1.0173,                0.54217,                  1.104,                0.90682,                0.87479,                 0.9436,                0.64912,                 1.1056,                0.51222,                 1.1314,               0.003565,               0.003565,               0.003565
                     68,                 1.0172,                0.54131,                 1.1031,                0.90494,                0.87606,                0.94388,                0.64959,                 1.1058,                0.51185,                 1.1316,               0.003466,               0.003466,               0.003466
                     69,                 1.0098,                0.53592,                 1.0983,                0.90334,                0.87737,                0.94363,                0.64954,                 1.1056,                0.51126,                 1.1315,               0.003367,               0.003367,               0.003367
                     70,                 1.0077,                 0.5331,                  1.096,                0.90508,                 0.8764,                0.94375,                0.64981,                 1.1056,                0.51118,                 1.1314,               0.003268,               0.003268,               0.003268
                     71,                 1.0044,                0.53445,                 1.0985,                0.90423,                0.87749,                0.94407,                0.64986,                 1.1058,                0.51064,                 1.1315,               0.003169,               0.003169,               0.003169
                     72,                 1.0056,                0.53406,                 1.0986,                0.90494,                0.87722,                0.94409,                0.64987,                 1.1061,                   0.51,                 1.1317,                0.00307,                0.00307,                0.00307
                     73,                 1.0001,                0.52847,                 1.0954,                0.90677,                0.87608,                0.94424,                0.64964,                 1.1062,                0.50965,                 1.1319,               0.002971,               0.002971,               0.002971
                     74,                0.99485,                0.52847,                 1.0922,                0.90779,                  0.876,                0.94459,                0.64961,                  1.106,                0.50935,                 1.1316,               0.002872,               0.002872,               0.002872
                     75,                0.99108,                0.52451,                 1.0918,                 0.9081,                0.87491,                0.94437,                0.64962,                 1.1066,                0.50913,                 1.1318,               0.002773,               0.002773,               0.002773
                     76,                0.98556,                0.52043,                 1.0857,                0.90823,                0.87482,                 0.9444,                0.64959,                 1.1065,                0.50884,                 1.1316,               0.002674,               0.002674,               0.002674
                     77,                0.98357,                0.51992,                 1.0854,                0.90705,                0.87518,                0.94418,                0.64953,                 1.1066,                0.50847,                 1.1315,               0.002575,               0.002575,               0.002575
                     78,                0.97654,                0.51379,                 1.0842,                0.90716,                 0.8755,                 0.9448,                0.64954,                 1.1068,                0.50794,                 1.1318,               0.002476,               0.002476,               0.002476
                     79,                0.97658,                0.51507,                  1.084,                0.90654,                0.87673,                0.94474,                0.64966,                 1.1072,                0.50803,                 1.1319,               0.002377,               0.002377,               0.002377
                     80,                0.96853,                0.51139,                 1.0811,                0.90736,                0.87667,                0.94477,                0.64974,                 1.1072,                0.50762,                  1.132,               0.002278,               0.002278,               0.002278
                     81,                0.96714,                0.51036,                 1.0788,                0.90648,                0.87691,                0.94473,                0.64976,                 1.1075,                0.50756,                 1.1321,               0.002179,               0.002179,               0.002179
                     82,                0.96794,                0.50751,                  1.079,                0.90698,                 0.8762,                0.94474,                0.65032,                 1.1075,                0.50714,                 1.1322,                0.00208,                0.00208,                0.00208
                     83,                0.95873,                0.50372,                 1.0745,                0.90572,                0.87702,                 0.9447,                0.65015,                 1.1077,                0.50703,                 1.1323,               0.001981,               0.001981,               0.001981
                     84,                0.95473,                0.50218,                 1.0738,                0.90592,                 0.8771,                0.94452,                0.65014,                 1.1078,                0.50671,                 1.1326,               0.001882,               0.001882,               0.001882
                     85,                0.94934,                0.50049,                 1.0692,                0.90463,                0.87734,                0.94453,                0.64998,                 1.1077,                0.50635,                 1.1327,               0.001783,               0.001783,               0.001783
                     86,                0.94693,                0.49862,                 1.0693,                0.90512,                0.87761,                0.94446,                0.65021,                 1.1077,                0.50612,                 1.1329,               0.001684,               0.001684,               0.001684
                     87,                0.94179,                0.49407,                 1.0658,                0.90542,                0.87758,                0.94475,                0.65037,                 1.1078,                0.50597,                  1.133,               0.001585,               0.001585,               0.001585
                     88,                0.93774,                0.49255,                 1.0623,                0.90502,                0.87773,                0.94459,                0.65026,                  1.108,                0.50584,                 1.1331,               0.001486,               0.001486,               0.001486
                     89,                0.93116,                0.48939,                 1.0612,                0.90455,                 0.8777,                0.94449,                   0.65,                 1.1079,                0.50585,                 1.1331,               0.001387,               0.001387,               0.001387
                     90,                0.92761,                0.48856,                 1.0624,                0.90447,                0.87687,                0.94446,                0.65003,                  1.108,                0.50576,                 1.1331,               0.001288,               0.001288,               0.001288
                     91,                0.88978,                0.44381,                 1.0279,                0.90607,                 0.8753,                0.94469,                0.65004,                 1.1081,                0.50539,                 1.1334,               0.001189,               0.001189,               0.001189
                     92,                0.87192,                0.43466,                 1.0184,                 0.9055,                 0.8755,                0.94463,                0.65001,                 1.1081,                0.50514,                 1.1334,                0.00109,                0.00109,                0.00109
                     93,                0.86282,                0.43122,                 1.0127,                0.90573,                0.87562,                0.94458,                0.65043,                 1.1079,                0.50497,                 1.1333,               0.000991,               0.000991,               0.000991
                     94,                0.85612,                0.42732,                 1.0095,                0.90605,                 0.8755,                0.94474,                0.65039,                  1.108,                0.50446,                 1.1335,               0.000892,               0.000892,               0.000892
                     95,                0.84721,                0.42404,                 1.0054,                0.90621,                0.87479,                 0.9447,                0.65022,                 1.1082,                0.50452,                 1.1335,               0.000793,               0.000793,               0.000793
                     96,                0.84306,                0.42145,                 1.0027,                0.90647,                0.87526,                0.94472,                0.65042,                 1.1084,                0.50421,                 1.1338,               0.000694,               0.000694,               0.000694
                     97,                 0.8384,                0.41897,                0.99915,                0.90473,                0.87725,                0.94481,                0.65051,                 1.1085,                0.50404,                 1.1339,               0.000595,               0.000595,               0.000595
                     98,                0.83471,                0.41613,                0.99809,                0.90476,                0.87737,                  0.945,                0.65069,                 1.1085,                0.50402,                  1.134,               0.000496,               0.000496,               0.000496
                     99,                0.82524,                0.41426,                0.99681,                0.90393,                0.87819,                0.94495,                0.65099,                 1.1086,                0.50399,                  1.134,               0.000397,               0.000397,               0.000397
                    100,                0.82576,                0.41271,                0.99662,                 0.9032,                0.87855,                0.94485,                0.65098,                 1.1088,                0.50387,                 1.1341,               0.000298,               0.000298,               0.000298
